,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,ec_gate_depolar_prob
114,114,5.858918,0.6,3.5153507999999998,1,1,1,0,0.08200000000000005
115,115,5.858923,0.7,4.1012461,1,0,0,0,0.08250000000000005
116,116,5.8589210000000005,0.3,1.7576763000000002,1,0,1,1,0.08300000000000005
117,117,5.858919,0.5,2.9294595,1,0,1,0,0.08350000000000005
118,118,5.8589199999999995,0.7,4.1012439999999994,0,0,0,1,0.08400000000000005
119,119,5.858919,0.3,1.7576757,1,0,1,0,0.08450000000000005
120,120,5.858918,0.4,2.3435672000000003,1,0,0,1,0.08500000000000005
121,121,5.8589210000000005,0.5,2.9294605000000002,1,0,1,0,0.08550000000000005
122,122,5.858918,0.7,4.1012426,0,0,0,1,0.08600000000000005
123,123,5.858923,0.5,2.9294615,0,0,1,1,0.08650000000000005
124,124,5.858919,0.8,4.6871352,1,0,0,1,0.08700000000000005
125,125,5.8589199999999995,0.5,2.9294599999999997,0,0,1,0,0.08750000000000005
126,126,5.858923,0.6,3.5153537999999998,1,0,0,0,0.08800000000000005
127,127,5.8589210000000005,0.5,2.9294605000000002,1,0,0,0,0.08850000000000005
128,128,5.858918,0.4,2.3435672000000003,1,1,0,1,0.08900000000000005
129,129,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.08950000000000005
130,130,5.858922,0.8,4.6871376,0,0,1,0,0.09000000000000005
131,131,5.8589199999999995,0.4,2.343568,1,0,1,0,0.09050000000000005
132,132,5.858919,0.5,2.9294595,0,1,1,0,0.09100000000000005
133,133,5.858918,0.5,2.929459,1,1,1,1,0.09150000000000005
134,134,5.8589199999999995,0.8,4.687136,1,0,1,0,0.09200000000000005
135,135,5.8589199999999995,0.8,4.687136,0,0,1,0,0.09250000000000005
136,136,5.8589210000000005,0.4,2.3435684,1,0,0,1,0.09300000000000005
137,137,5.858922,0.4,2.3435688,1,1,0,0,0.09350000000000006
138,138,5.8589199999999995,0.8,4.687136,1,0,1,0,0.09400000000000006
139,139,5.8589210000000005,0.8,4.6871368,0,0,0,1,0.09450000000000006
140,140,5.8589210000000005,0.6,3.5153526000000004,1,1,1,1,0.09500000000000006
141,141,5.858918,0.4,2.3435672000000003,1,0,0,1,0.09550000000000006
142,142,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.09600000000000006
143,143,5.8589210000000005,0.6,3.5153526000000004,0,0,1,1,0.09650000000000006
144,144,5.8589199999999995,0.7,4.1012439999999994,1,1,0,0,0.09700000000000006
145,145,5.858923,0.5,2.9294615,1,1,0,0,0.09750000000000006
146,146,5.858922,0.5,2.929461,0,0,0,0,0.09800000000000006
147,147,5.858918,0.6,3.5153507999999998,1,0,0,0,0.09850000000000006
148,148,5.858919,0.7,4.1012433,1,0,0,1,0.09900000000000006
149,149,5.858919,0.7,4.1012433,1,0,1,1,0.09950000000000006
150,150,5.858923,0.7,4.1012461,0,0,1,1,0.10000000000000006
151,151,5.8589199999999995,0.9,5.273028,0,0,0,0,0.10050000000000006
152,152,5.858924,0.5,2.929462,1,0,1,0,0.10100000000000006
153,153,5.858918,0.5,2.929459,0,1,1,0,0.10150000000000006
154,154,5.8589199999999995,0.4,2.343568,0,1,0,1,0.10200000000000006
155,155,5.8589199999999995,0.6,3.5153519999999996,0,0,0,1,0.10250000000000006
156,156,5.8589210000000005,0.3,1.7576763000000002,0,0,0,1,0.10300000000000006
157,157,5.8589199999999995,0.5,2.9294599999999997,0,0,1,0,0.10350000000000006
158,158,5.8589199999999995,0.6,3.5153519999999996,0,1,0,0,0.10400000000000006
159,159,5.8589210000000005,0.6,3.5153526000000004,1,1,1,1,0.10450000000000007
160,160,5.858917,0.6,3.5153502,1,1,0,0,0.10500000000000007
161,161,5.8589199999999995,0.5,2.9294599999999997,1,1,1,1,0.10550000000000007
162,162,5.8589199999999995,0.3,1.7576759999999998,1,1,0,1,0.10600000000000007
163,163,5.858919,0.6,3.5153514,1,0,1,0,0.10650000000000007
164,164,5.8589210000000005,0.8,4.6871368,0,0,1,0,0.10700000000000007
165,165,5.858919,0.8,4.6871352,0,1,0,1,0.10750000000000007
166,166,5.858916,0.6,3.5153496,0,0,0,1,0.10800000000000007
167,167,5.8589199999999995,0.7,4.1012439999999994,0,0,0,1,0.10850000000000007
168,168,5.8589199999999995,0.6,3.5153519999999996,1,1,1,1,0.10900000000000007
169,169,5.8589199999999995,0.9,5.273028,0,1,1,1,0.10950000000000007
170,170,5.858918,0.6,3.5153507999999998,1,0,1,0,0.11000000000000007
171,171,5.858919,0.6,3.5153514,0,1,1,0,0.11050000000000007
172,172,5.8589199999999995,0.3,1.7576759999999998,0,0,0,1,0.11100000000000007
173,173,5.858918,0.4,2.3435672000000003,0,1,1,0,0.11150000000000007
174,174,5.8589210000000005,0.7,4.1012447000000005,0,1,1,0,0.11200000000000007
175,175,5.858922,0.5,2.929461,0,0,1,0,0.11250000000000007
176,176,5.858923,0.8,4.6871384,1,1,0,0,0.11300000000000007
177,177,5.8589199999999995,0.8,4.687136,0,0,1,1,0.11350000000000007
178,178,5.858919,0.5,2.9294595,1,1,1,1,0.11400000000000007
179,179,5.858923,0.7,4.1012461,0,0,1,1,0.11450000000000007
180,180,5.8589199999999995,0.9,5.273028,1,1,0,1,0.11500000000000007
181,181,5.8589210000000005,0.3,1.7576763000000002,0,0,0,1,0.11550000000000007
182,182,5.8589199999999995,0.6,3.5153519999999996,1,0,1,0,0.11600000000000008
183,183,5.8589199999999995,0.4,2.343568,0,1,1,0,0.11650000000000008
184,184,5.8589210000000005,0.5,2.9294605000000002,0,0,0,0,0.11700000000000008
185,185,5.8589199999999995,0.5,2.9294599999999997,1,1,1,1,0.11750000000000008
186,186,5.8589199999999995,0.8,4.687136,1,0,0,0,0.11800000000000008
187,187,5.8589210000000005,0.4,2.3435684,1,0,0,1,0.11850000000000008
188,188,5.858918,0.5,2.929459,1,1,0,0,0.11900000000000008
189,189,5.858925,0.4,2.34357,1,1,1,0,0.11950000000000008
190,190,5.858918,0.6,3.5153507999999998,1,0,0,1,0.12000000000000008
191,191,5.8589210000000005,0.7,4.1012447000000005,1,0,0,1,0.12050000000000008
192,192,5.858918,0.6,3.5153507999999998,0,1,0,1,0.12100000000000008
193,193,5.8589199999999995,0.6,3.5153519999999996,0,0,1,1,0.12150000000000008
194,194,5.858922,0.7,4.1012454,0,0,1,0,0.12200000000000008
195,195,5.8589199999999995,0.8,4.687136,0,0,0,0,0.12250000000000008
196,196,5.858919,0.5,2.9294595,0,0,1,1,0.12300000000000008
197,197,5.858919,0.7,4.1012433,1,0,1,0,0.12350000000000008
198,198,5.858919,0.6,3.5153514,1,0,1,1,0.12400000000000008
199,199,5.8589199999999995,0.7,4.1012439999999994,1,1,1,1,0.12450000000000008
