"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"39","385.3139533019358","194.41596939398966","4.574236575295852","-0.3140308325815774","0.014900000000000024","0.011800000000000033","0.018","1244.4444444444443","0.00011539268629992795","0","0.00011539268629992795","0.00011539268629992795","","","true"
"40","444.12389371313225","61.085653667280965","4.705520310734096","-0.31264268217270236","0.04360000000000008","0.0282","0.05900000000000005","1244.4444444444443","0.0009998198827678509","0","0.0009998198827678509","0.0009998198827678509","40_39:0.022117774208311375","40_39:590.2222222222222","true"
"41","305.1101729511459","400.40606078649296","4.814564020849521","-0.3126369186509598","0.0042999999999999705","0.00539999999999996","0.0032","1244.4444444444443","0.00014839330080970313","0","0.00014839330080970313","0.00014839330080970313","41_40:0.02058234867670411;41_53:0.003900068008021812","41_40:533.3333333333333;41_53:533.3333333333333","true"
"42","437.06221972190633","466.57517128585727","4.654733071608244","-0.3142873185900896","0.039100000000000024","0.035800000000000054","0.0424","1244.4444444444443","0.00009813485838120396","0","0.00009813485838120396","0.00009813485838120396","42_41:0.004811477833545685","42_41:533.3333333333333","true"
"43","377.1233692049817","316.5741957934886","4.7551445590507235","-0.31327741535760273","0.013500000000000068","0.021199999999999997","0.0058","1244.4444444444443","0.00016651710841640848","0","0.00016651710841640848","0.00016651710841640848","43_44:0.004190603969119938;43_34:0.009426173014411815;43_42:0.0081957524041128","43_44:533.3333333333333;43_34:533.3333333333333;43_42:533.3333333333333","true"
"44","266.4242545874504","264.38501403406747","4.868105045007536","-0.3104963912007421","0.007500000000000062","0.011600000000000055","0.0034","1244.4444444444443","0.00017275919202717902","0","0.00017275919202717902","0.00017275919202717902","","","true"
"45","345.03404917178904","229.6995480194004","4.762850179061688","-0.3110511707571012","0.01760000000000006","0.012399999999999967","0.0228","1244.4444444444443","0.00014074870119198233","0","0.00014074870119198233","0.00014074870119198233","45_46:0.006784469405989313;45_44:0.004992982870385826","45_46:533.3333333333333;45_44:533.3333333333333","true"
"46","458.8525719305568","502.97631069850854","4.674088553602355","-0.31335055063587447","0.007900000000000018","0.011399999999999966","0.0044","1244.4444444444443","0.0003310517810031022","0","0.0003310517810031022","0.0003310517810031022","","","true"
"47","442.7831692469648","195.79882958778995","4.795122037806665","-0.31225140541662605","0.011700000000000044","0.016599999999999948","0.0068","1244.4444444444443","0.00018796152636380912","0","0.00018796152636380912","0.00018796152636380912","47_48:0.005109408257626097;47_46:0.005944474533374322","47_48:533.3333333333333;47_46:533.3333333333333","true"
"48","325.25976806191176","240.99802088896863","4.707253719586442","-0.31164980062742437","0.010199999999999987","0.011399999999999966","0.009","1244.4444444444443","0.0002110049890940904","0","0.0002110049890940904","0.0002110049890940904","","","true"
"49","167.70881426230466","116.23145884381137","4.810804908106394","-0.31113135217025384","0.006800000000000028","0.0086","0.0050000000000000044","1244.4444444444443","0.0002134825638296211","0","0.0002134825638296211","0.0002134825638296211","49_50:0.00682667354179764;49_48:0.006057354657172331","49_50:590.2222222222222;49_48:533.3333333333333","true"
