file,param,value,succ_rate_or_frac0,exec_per_sec,succ_per_sec,num_times,ci_low,ci_high
20240915-223006_NVQDeviceConfig_measure_100.csv,Unnamed: 0,15.0,0.67,5.874519800000001,3.935928266000001,100,0.5730516033971139,0.7543701620610456
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,0.0,0.51,5.8589194,2.988048894,100,0.4134784047743415,0.6057816990761385
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,1.0,0.69,5.858920100000001,4.042654869,100,0.5937376052204429,0.7722043679386762
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,2.0,0.64,5.858920100000001,3.749708864000001,100,0.542352199811621,0.7272892540950986
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,3.0,0.63,5.8589187,3.691118781,100,0.5322034757513312,0.7181778743049083
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,4.0,0.63,5.8589207,3.691120041,100,0.5322034757513312,0.7181778743049083
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,5.0,0.56,5.8589205,3.2809954800000005,100,0.4622792771125631,0.6532813459903167
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,6.0,0.66,5.8589193,3.866886738,100,0.5627754565831095,0.74538620502457
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,7.0,0.65,5.8589204,3.80829826,100,0.5525426042919797,0.7363589534652197
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,8.0,0.72,5.8589198,4.218422255999999,100,0.6251178763865427,0.7986044083240164
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,9.0,0.67,5.8589205,3.925476735,100,0.5730516033971139,0.7543701620610456
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,10.0,0.66,5.858920299999999,3.866887398,100,0.5627754565831095,0.74538620502457
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,11.0,0.64,5.8589197,3.749708608,100,0.542352199811621,0.7272892540950986
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,12.0,0.5,5.8589195,2.92945975,100,0.40382982859014716,0.5961701714098528
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,13.0,0.64,5.8589204,3.749709056,100,0.542352199811621,0.7272892540950986
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,14.0,0.56,5.8589193,3.2809948080000004,100,0.4622792771125631,0.6532813459903167
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,15.0,0.62,5.8589194,3.632530028,100,0.5220957382071033,0.7090255079986562
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,16.0,0.63,5.858920299999999,3.691119789,100,0.5322034757513312,0.7181778743049083
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,17.0,0.6,5.85892,3.515352,100,0.5020007846184025,0.6906002538863971
20240915-223629_NVQDeviceConfig_electron_single_qubit_depolar_prob_100.csv,Unnamed: 0,18.0,0.6,5.8589208,3.51535248,100,0.5020007846184025,0.6906002538863971
